LOCATION,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AUT,-6.133971278,-4.503610369,-2.575791199,-2.696226841,-2.595886654,-2.404669559,-0.661575545,-1.381174923,-1.786425452,-4.804986015,-2.508353536,-2.535440659,-1.354608599,-1.495265332,-5.329709674,-4.441277197,-2.55356277,-2.189058043,-1.950077521,-2.729145206,-1.046271884,-1.57829498,-0.797217252
AUT_s,55.80607416,55.62439493,52.27210395,52.22424263,52.06151977,51.03298833,51.35570521,51.05430466,51.27099057,53.70511428,51.15552284,50.37993357,49.24411214,49.87398468,54.14480051,52.83978554,50.89691485,51.21302781,51.64766654,52.32098341,51.01755364,50.28479168,
BEL,-4.445887311,-3.931326131,-2.124940313,-0.947973812,-0.550883198,-0.071914864,0.171903665,0.045298368,-1.761025204,-0.15687414,-2.76119748,0.219339801,0.065474852,-1.10324095,-5.383061181,-4.001391398,-4.193731415,-4.234682778,-3.130296748,-3.098579158,-2.451472007,-2.43031901,-0.882264716
BEL_s,52.38621124,52.66654441,51.23665357,50.56057923,50.06846118,49.05197853,49.18800068,49.50649864,50.71446894,48.93301481,51.62783709,48.45095283,48.24907713,50.28078106,54.15018188,53.34131287,54.45256383,55.86550816,55.83481462,55.23329199,53.73545474,53.00730961,
CZE,-12.43268763,-3.012249621,-3.184316328,-4.181627841,-3.132022278,-3.574525099,-5.48497085,-6.356287412,-6.884544521,-2.381268033,-2.991334273,-2.171516836,-0.653521755,-1.97968896,-5.450094379,-4.189741535,-2.72440939,-3.929937398,-1.247618425,-2.099337728,-0.607709285,0.726553537,1.54989269
CZE_s,52.92871429,41.77327477,41.95407727,42.08021006,41.36269035,40.96464939,43.20367993,44.81277157,49.34507124,42.55493325,42.27311389,41.35654826,40.37431672,40.63696458,44.19980211,43.51436379,43.03474058,44.4796833,42.60257366,42.23627998,41.69887917,39.44366494,
DNK,-3.618293788,-2.482573914,-1.200213938,-0.388536815,0.868853608,1.887314306,1.14055439,-0.015387114,-0.133147637,2.073172594,4.955031072,4.987100686,5.020458983,3.173907975,-2.798141618,-2.710270878,-2.055766184,-3.490444865,-1.235647209,1.144427647,-1.464331384,-0.402101498,1.086100657
DNK_s,58.52599608,57.99844489,55.90749383,55.39524852,54.53327008,52.68676446,52.83742342,53.21431129,53.63935713,52.99737517,51.24150054,49.82975283,49.59142419,50.41077564,56.5363039,56.6732158,56.42931168,57.95492564,55.82037823,55.21771281,54.52887413,52.72157721,
FIN,-5.928609116,-3.247109543,-1.20916036,1.635626589,1.68369799,6.855226367,4.982795267,4.071104397,2.441792187,2.209784385,2.593270757,3.931314957,5.132808815,4.180454388,-2.528324191,-2.609834313,-1.044349288,-2.183259674,-2.613874436,-3.210625189,-2.758535142,-1.724576722,-0.688875685
FIN_s,61.05259954,59.51205173,56.09275949,52.36497151,50.95924301,48.01447223,47.3382859,48.52484001,49.38344912,49.30557747,49.27518599,48.34022733,46.79554517,48.25900439,54.75807744,54.75467664,54.38438759,56.2036708,57.50130325,58.10905516,57.1358371,55.8995146,
FRA,-5.108542995,-3.905879422,-3.65283417,-2.378437395,-1.602927625,-1.318422681,-1.379274477,-3.16028993,-4.01553721,-3.590570293,-3.355559897,-2.443685608,-2.636296205,-3.26373483,-7.174779051,-6.886721673,-5.154760881,-4.980984334,-4.084094523,-3.904659346,-3.62517467,-3.548870844,-2.677264308
FRA_s,54.48220555,54.55294642,54.20664198,52.61025996,52.32273542,51.36072664,51.4288129,52.51018844,53.00325143,52.73157166,53.05993244,52.63850194,52.34309968,53.08274526,56.83724932,56.53426646,55.98685173,56.76698245,56.99651755,57.0128828,56.55912942,56.37961238,
DEU,-9.426662032,-3.542350181,-2.945111815,-2.531822438,-1.698210065,0.858926142,-3.111590247,-3.94420832,-4.175615293,-3.740784455,-3.416939753,-1.721508409,0.187249078,-0.17687197,-3.234997643,-4.220987109,-0.956783273,-0.033680654,-0.140363168,0.568061553,0.782456394,0.909755519,1.037670794
DEU_s,54.65990479,48.94228373,48.05728258,47.68648766,47.69434543,44.74873375,46.90804413,47.26405316,47.81561926,46.31202051,46.20007302,44.69633344,42.81737048,43.57284502,47.57621084,47.25545142,44.71000178,44.29538912,44.68834918,44.19810181,43.78272535,43.94515389,
GRC,-9.730979547,-8.15826266,-6.056026225,-6.268433569,-5.793462652,-4.0630872,-5.466055745,-6.024075591,-7.830423452,-8.827879771,-6.187942655,-5.94597758,-6.707074634,-10.17602394,-15.14139977,-11.19711452,-10.27875911,-8.865404574,-13.15496123,-3.557105804,-5.608198242,0.528081389,0.771844727
GRC_s,45.99972432,45.08299037,43.70590626,45.14916715,46.15411241,46.42567402,45.98609322,45.79692279,46.59183003,47.6145925,45.56160745,45.11672289,47.06942209,50.84540756,54.07811171,52.47765365,54.0856905,55.3979263,62.1728986,50.16834558,53.52921136,49.11100255,
